variance,maximum,det
0.000131468,0.155599164,blur
0.000413639,0.475519819,blur
0.000159116,0.421723354,blur
0.000351112,0.529005574,blur
0.000113997,0.1665848,blur
0.000198605,0.117044095,blur
0.000116028,0.364766029,blur
0.00040665,0.295247256,blur
0.000228772,0.121202103,blur
0.000375413,0.226443862,blur
0.000142985,0.339474328,blur
7.05E-05,0.125826155,blur
0.001082936,0.441016807,blur
0.000125682,0.094330575,blur
0.000605538,0.429720971,blur
0.001316264,0.280648677,blur
0.000377455,0.322601386,blur
9.60E-05,0.094249516,blur
0.000630663,0.485010605,blur
8.08E-05,0.095229355,blur
0.00014774,0.399219551,blur
8.03E-05,0.068612805,blur
0.000463946,0.224049725,blur
0.000130161,0.267656853,blur
0.000855164,0.379402269,blur
0.000182611,0.210387211,blur
5.66E-05,0.139337533,blur
0.000380581,0.207884229,blur
3.85E-05,0.031089994,blur
0.000178405,0.129285746,blur
0.00040728,0.159891342,blur
0.00068251,0.415864233,blur
0.000191698,0.142519589,blur
0.000481364,0.287016366,blur
0.000291826,0.22384781,blur
0.00059356,0.18832172,blur
0.000297876,0.125246499,blur
0.00022972,0.088243395,blur
0.00040471,0.258517703,blur
0.000864362,0.646804261,blur
4.86E-05,0.053098039,blur
5.59E-05,0.046253128,blur
0.000275691,0.291150346,blur
0.000318661,0.304957326,blur
0.000214457,0.272335063,blur
0.000147696,0.187607904,blur
0.000360579,0.198562469,blur
0.000247173,0.115417747,blur
0.000190798,0.165417276,blur
0.000461142,0.304335468,blur
0.000234576,0.22432341,blur
0.000661153,0.323283707,blur
0.000698905,0.244609692,blur
0.004876399,0.636095759,blur
0.00176517,0.514380042,blur
0.000191732,0.478291917,blur
0.002178337,0.361978768,blur
8.45E-05,0.053428911,blur
0.001521411,0.161290363,blur
0.002470585,0.428512585,blur
0.000164058,0.100331853,blur
6.42E-05,0.142173428,blur
0.000757584,0.166567957,blur
0.000463312,0.358445063,blur
7.96E-05,0.209254307,blur
8.51E-05,0.049526767,blur
0.000140371,0.117945161,blur
0.000428178,0.201198446,blur
0.000228307,0.343617576,blur
0.000500957,0.18967869,blur
0.000300042,0.364416974,blur
0.000700879,0.686192275,blur
0.000333816,0.299957933,blur
0.000509823,0.261066342,blur
0.00030521,0.225322243,blur
7.08E-05,0.091699493,blur
0.000438104,0.135862325,blur
9.14E-05,0.117727408,blur
0.000119101,0.155536816,blur
0.000280895,0.265775382,blur
0.000165962,0.145087255,blur
0.000190685,0.139248518,blur
0.000134047,0.134945953,blur
0.000230722,0.253752399,blur
0.000159914,0.101439945,blur
0.000123037,0.266097812,blur
0.000713641,0.150255765,blur
0.000152257,0.099620569,blur
0.00024264,0.2796041,blur
0.000211902,0.152214885,blur
0.000104366,0.175748993,blur
7.07E-05,0.080067135,blur
0.00037404,0.358066145,blur
0.000974899,0.49468487,blur
0.000461918,0.348656182,blur
0.000120837,0.158635466,blur
0.001657248,0.433202243,blur
0.000316303,0.156039743,blur
0.000175633,0.103564953,blur
0.000137691,0.301942789,blur
0.000216511,0.291412736,blur
0.000136845,0.069940679,blur
0.000517041,0.756484925,blur
0.000173251,0.15757104,blur
0.00031507,0.227407795,blur
0.000126167,0.09942018,blur
0.000152216,0.084395168,blur
0.000349687,0.152321591,blur
0.000204987,0.232863051,blur
0.000179458,0.096130904,blur
0.000328142,0.173810712,blur
0.000498211,0.290609353,blur
0.000316483,0.448907859,blur
0.000207977,0.16340248,blur
0.000953556,0.225320751,blur
0.000112489,0.152011731,blur
0.000330998,0.40502358,blur
0.000511403,0.175886863,blur
0.000272738,0.191545423,blur
7.37E-05,0.05446223,blur
0.001131923,0.506233675,blur
7.64E-05,0.086987619,blur
2.89E-05,0.039398996,blur
9.10E-05,0.066661651,blur
0.000278152,0.233809872,blur
9.73E-05,0.067303768,blur
0.000157655,0.088186121,blur
0.000102175,0.084981634,blur
0.000236671,0.174165335,blur
0.000178695,0.120631799,blur
0.000149101,0.118023653,blur
0.000138636,0.091117274,blur
0.000171899,0.2528101,blur
0.00038316,0.29826402,blur
0.000733859,0.252040667,blur
0.000101918,0.102669945,blur
0.000204047,0.133171327,blur
0.00037442,0.190893162,blur
0.000221682,0.090925038,blur
0.000351011,0.130716828,blur
0.000158294,0.188285176,blur
0.00041994,0.702680873,blur
0.001299846,0.493265708,blur
0.000313899,0.174488248,blur
0.000537158,0.305048754,blur
0.000110262,0.085906949,blur
0.00065686,0.216299513,blur
0.000217547,0.309907711,blur
2.66E-05,0.075404183,blur
0.000170426,0.195377134,blur
0.000197284,0.505587726,blur
0.000235327,0.09966044,blur
0.000486569,0.110940239,blur
0.000267192,0.123804226,blur
0.000186519,0.299636689,blur
0.000447601,0.26809128,blur
0.000433959,0.110421997,blur
0.000461804,0.417462319,blur
0.000164458,0.066958783,blur
0.000318701,0.413463471,blur
0.000317526,0.252467354,blur
0.000116664,0.140397973,blur
0.000177937,0.204115334,blur
0.000443899,0.371423153,blur
0.000149875,0.555707154,blur
0.000646351,0.337633651,blur
0.000326904,0.123069988,blur
0.000240805,0.380816868,blur
0.000210908,0.143662093,blur
0.000357592,0.228026099,blur
0.000183699,0.100156235,blur
0.000254293,0.256023835,blur
0.000204291,0.108825712,blur
0.008510273,0.615201859,blur
0.000249214,0.265792622,blur
0.000215627,0.084890706,blur
0.000201651,0.12738894,blur
0.00050313,0.343781644,blur
0.000128344,0.104770078,blur
0.000244788,0.227756797,blur
0.00019792,0.107256013,blur
0.000292101,0.326842403,blur
0.000164102,0.154509298,blur
0.000178131,0.079659083,blur
5.96E-05,0.07512627,blur
0.000155522,0.166815806,blur
0.000153695,0.071921517,blur
0.000154931,0.064043567,blur
0.000700064,0.301077446,blur
0.000191308,0.074501589,blur
0.000218744,0.130283863,blur
0.000161278,0.163649843,blur
0.000209188,0.106854351,blur
0.000207575,0.118714554,blur
0.000295495,0.134370263,blur
0.00038826,0.273571402,blur
0.000140014,0.066982156,blur
0.000256272,0.16194037,blur
0.000154978,0.070487468,blur
7.48E-05,0.054515853,blur
0.000144748,0.066287271,blur
0.000787515,0.178103876,blur
0.000624432,0.336406992,blur
0.001843577,0.506063658,blur
1.81E-05,0.02697852,blur
0.000113517,0.106557876,blur
0.000251495,0.154108638,blur
0.000349014,0.151832317,blur
0.000418467,0.175037588,blur
0.000198899,0.112923889,blur
0.000532729,0.509068697,blur
0.000281559,0.389452623,blur
0.000290536,0.170505317,blur
5.12E-05,0.136694718,blur
0.000180101,0.171695343,blur
0.00260848,0.500549216,blur
0.000328497,0.28276797,blur
6.23E-05,0.058798018,blur
0.000243774,0.092948435,blur
6.48E-05,0.045913416,blur
0.000149,0.17813987,blur
0.000266163,0.160959423,blur
0.000358179,0.276798964,blur
0.000148086,0.078051745,blur
0.000872297,0.307965196,blur
0.000207539,0.171618399,blur
0.000353966,0.178141509,blur
0.000183938,0.083410774,blur
0.000132877,0.10168891,blur
0.000139311,0.091703636,blur
0.00069992,0.143558924,blur
0.000209815,0.11047857,blur
0.000338298,0.20435664,blur
0.000107984,0.181566444,blur
0.000143536,0.098289962,blur
4.32E-05,0.112435591,blur
0.000272231,0.166554363,blur
0.000255869,0.19190202,blur
0.000478329,0.340905263,blur
0.000268716,0.325282939,blur
0.000102037,0.116792475,blur
0.000119068,0.247001548,blur
0.000819443,0.177141227,blur
0.000633562,0.320308016,blur
0.000109933,0.149468002,blur
0.000102454,0.100195229,blur
0.000166066,0.166477909,blur
0.000386309,0.147338656,blur
0.000262245,0.359023326,blur
0.000128673,0.119929311,blur
0.000590627,0.319094623,blur
0.000548271,0.309978351,blur
0.000582526,0.143533014,blur
0.001392869,0.309960467,blur
0.000314012,0.153439231,blur
0.000831734,0.838513573,blur
0.000394914,0.262495356,blur
0.000489501,0.369231525,blur
0.000393387,0.312571259,blur
0.001425814,0.670240331,blur
0.000417454,0.203198347,blur
0.000255096,0.19144106,blur
0.000681127,0.202631102,blur
0.00021426,0.153701651,blur
0.000199744,0.197449864,blur
0.00027153,0.092354769,blur
0.000727265,0.223998411,blur
0.00032876,0.155440406,blur
0.000228837,0.175932298,blur
0.000500764,0.319335529,blur
0.000239434,0.212197256,blur
0.000193528,0.119941106,blur
0.000181452,0.11667664,blur
0.000197032,0.48828627,blur
0.000202875,0.25972605,blur
0.001598476,0.21612489,blur
0.000173712,0.082667867,blur
0.000627977,0.170834404,blur
0.000205821,0.091405973,blur
0.000301612,0.120159636,blur
0.00128801,0.441868784,blur
0.000220475,0.339181421,blur
0.000138093,0.085520729,blur
4.46E-05,0.06805016,blur
0.000365531,0.271879084,blur
0.000142539,0.093039413,blur
0.000599193,0.53864805,blur
0.000110417,0.065382155,blur
0.000327381,0.117566751,blur
0.000342755,0.520634902,blur
0.000254429,0.20918351,blur
0.000116362,0.223469768,blur
0.000213635,0.149685992,blur
0.000906552,0.291673295,blur
0.000206506,0.128396341,blur
0.000267543,0.124269351,blur
0.000210948,0.14416003,blur
0.00019644,0.277540666,blur
0.000826321,0.443179484,blur
6.57E-05,0.142620198,blur
0.000154788,0.148972383,blur
0.000260215,0.263356655,blur
0.000233339,0.118017597,blur
0.000199974,0.197354053,blur
0.001524456,1.004891766,blur
0.000303307,0.107995489,blur
0.000168885,0.133581971,blur
0.00013446,0.203428518,blur
0.000277758,0.110860102,blur
0.001329302,0.411685512,blur
6.68E-05,0.058214144,blur
0.000581009,0.381874319,blur
0.000418457,0.1398867,blur
0.000184015,0.088833076,blur
0.000375621,0.205192859,blur
0.000391107,0.47197201,blur
0.000361585,0.537960537,blur
0.000695591,0.422646433,blur
7.08E-05,0.077204349,blur
0.001063021,0.462783941,blur
0.000145373,0.102769603,blur
0.000514816,0.163641434,blur
0.000258503,0.173285629,blur
0.000107876,0.079799534,blur
0.000430361,0.143470932,blur
0.000682058,0.56852475,blur
0.00046744,0.483192606,blur
0.00154219,0.653110835,blur
0.00036352,0.540354792,blur
0.000313794,0.150842325,blur
0.000363358,0.304017289,blur
0.00157269,0.365396785,blur
0.0002867,0.187268373,blur
0.000236585,0.2125069,blur
0.000364698,0.237405906,blur
0.000227235,0.195624554,blur
0.000413878,0.140133773,blur
0.000273133,0.152055164,blur
0.000187742,0.075354836,blur
0.000260201,0.158478408,blur
0.000611256,0.302289368,blur
0.00022094,0.639995933,blur
0.00028119,0.322147516,blur
6.33E-05,0.15109381,blur
0.000436909,0.336022168,blur
0.000284273,0.4509161,blur
0.000340899,0.370435618,blur
0.000279782,0.201416663,blur
0.001065318,0.664661538,blur
0.000144784,0.127631892,blur
0.006037887,1.424179913,sharp
0.002815716,1.723537126,sharp
0.001291092,1.352692316,sharp
0.002689384,1.426012056,sharp
0.008311616,0.839009116,sharp
0.00868619,0.976200043,sharp
0.000745106,1.022570124,sharp
0.01977326,1.438517239,sharp
0.003438483,0.923113903,sharp
0.005733049,0.861236634,sharp
0.005346906,1.577428645,sharp
0.001608187,0.641512215,sharp
0.006325044,1.233196018,sharp
0.008238718,0.882571934,sharp
0.009108155,1.085875174,sharp
0.013121641,1.232876168,sharp
0.006120047,1.411721667,sharp
0.05890199,1.554761853,sharp
0.005395025,1.455017179,sharp
0.009797636,1.569813064,sharp
0.014849062,1.679199227,sharp
0.00633787,1.093966314,sharp
0.004235908,0.965241281,sharp
0.004795646,0.780447029,sharp
0.018632826,1.762232788,sharp
0.012197823,1.803067786,sharp
0.008009371,1.290785101,sharp
0.023417634,1.367345385,sharp
0.001523972,0.594988997,sharp
0.003763782,0.697059355,sharp
0.000800391,0.348134109,sharp
0.007145106,1.194037244,sharp
0.015733856,1.164260242,sharp
0.002458206,1.005414833,sharp
0.029519062,1.607580301,sharp
0.049240628,1.872686765,sharp
0.019628551,1.409169682,sharp
0.032446559,1.146610242,sharp
0.015524998,1.708548601,sharp
0.008412423,1.44557341,sharp
0.009494368,0.88461636,sharp
0.016754221,1.100599012,sharp
0.01537405,1.426523036,sharp
0.003257851,1.337588955,sharp
0.020092354,0.87077417,sharp
0.004589557,1.451727971,sharp
0.009725961,1.277713639,sharp
0.028786071,1.573569214,sharp
0.011076802,1.42740264,sharp
0.020550008,1.749662761,sharp
0.027910127,1.719196438,sharp
0.019802627,1.448805206,sharp
0.038938516,1.831319739,sharp
0.055509512,1.669409271,sharp
0.03383401,1.745607694,sharp
0.002354445,0.826373757,sharp
0.028107136,1.497039873,sharp
0.049149233,1.423369494,sharp
0.062574316,1.555145057,sharp
0.03813436,1.52950758,sharp
0.013016081,1.099843554,sharp
0.008800877,1.562590058,sharp
0.019190782,1.547717338,sharp
0.051017332,1.878115537,sharp
0.003443343,1.062495276,sharp
0.013432673,0.94069506,sharp
0.002213052,0.63872231,sharp
0.00607756,1.374304162,sharp
0.003585778,1.406612768,sharp
0.000661915,0.750356243,sharp
0.006872991,1.291084546,sharp
0.007375865,1.803493718,sharp
0.006376484,1.535219864,sharp
0.002682553,0.988587248,sharp
0.004569668,1.05888242,sharp
0.001423292,0.784795157,sharp
0.008837434,1.151453891,sharp
0.001486728,0.55811003,sharp
0.013617417,1.08429645,sharp
0.000889135,1.013339451,sharp
0.004535273,0.833046296,sharp
0.00236201,0.86054255,sharp
0.007946158,1.174469878,sharp
0.00668967,1.247921966,sharp
0.010505157,1.121222197,sharp
0.005098522,1.513034114,sharp
0.015117144,1.429882353,sharp
0.004105942,0.982127017,sharp
0.017660102,1.270190442,sharp
0.007197164,1.749173108,sharp
